person_id,persona_group,day_of_week,purpose_state,departure_min,arrival_min,duration_min,distance_km
smp_00000,employed | 18-25 | weekday | Income=Above median,weekday,Shopping/grocery shopping,739.0340890855416,788.7804100811524,49.746320995610745,5.351060678637504
smp_00000,employed | 18-25 | weekday | Income=Above median,weekday,Visitors/staying over,957.2787554105732,1131.348478732881,174.0697233223077,18.461979111486446
smp_00000,employed | 18-25 | weekday | Income=Above median,weekday,Sports/hobbies,1435.3937346517823,1440.0,4.606265348217676,2.3099752672686744
smp_00001,employed | 18-25 | weekday | Income=Above median,weekday,Sports/hobbies,706.7942966240173,785.7774659006802,78.98316927666292,1.3867299130891815
smp_00001,employed | 18-25 | weekday | Income=Above median,weekday,Sports/hobbies,1028.2200615468191,1152.9794003864006,124.75933883958146,0.9341291754726123
smp_00001,employed | 18-25 | weekday | Income=Above median,weekday,Sports/hobbies,1342.702972462664,1440.0,97.29702753733591,8.932914132770966
smp_00002,employed | 18-25 | weekday | Income=Above median,weekday,To and from work,317.3734017996713,355.05101866632856,37.677616866657274,20.402303102748167
smp_00002,employed | 18-25 | weekday | Income=Above median,weekday,Sports/hobbies,559.7633804789726,636.5965354765825,76.83315499760988,2.5151733936333533
smp_00002,employed | 18-25 | weekday | Income=Above median,weekday,Other leisure activities,1031.8861672184848,1039.2412453604024,7.355078141917602,4.995753225533618
smp_00003,employed | 18-25 | weekday | Income=Above median,weekday,Other leisure activities,432.20034537544495,494.4218763146524,62.22153093920747,9.631066190154993
smp_00003,employed | 18-25 | weekday | Income=Above median,weekday,To and from work,575.0073357637283,641.7093980455063,66.70206228177801,0.8761125807197464
smp_00003,employed | 18-25 | weekday | Income=Above median,weekday,To and from work,664.5121119734606,1035.9067823601408,371.3946703866802,1.6461527986382871
smp_00003,employed | 18-25 | weekday | Income=Above median,weekday,Sports/hobbies,1294.5226969285882,1404.1351256535122,109.61242872492403,2.2444596042015337
smp_00004,employed | 18-25 | weekday | Income=Above median,weekday,Shopping/grocery shopping,695.5937478133732,713.0230789929328,17.429331179559654,0.31461704478765634
smp_00004,employed | 18-25 | weekday | Income=Above median,weekday,To and from work,790.8595847551026,1059.4285011879128,268.5689164328103,10.619622429346382
smp_00004,employed | 18-25 | weekday | Income=Above median,weekday,Sports/hobbies,1116.171371518487,1191.0521625520487,74.88079103356176,3.492558318894186
smp_00005,employed | 18-25 | weekday | Income=Above median,weekday,To and from work,260.57371676576423,351.4995462583621,90.92582949259787,8.108888946353371
smp_00005,employed | 18-25 | weekday | Income=Above median,weekday,Visitors/staying over,616.9446427143199,770.8240586031786,153.87941588885872,0.7094396517077568
smp_00005,employed | 18-25 | weekday | Income=Above median,weekday,Visitors/staying over,976.2108048234319,1102.0960317833624,125.88522695993049,6.401961545851326
smp_00006,employed | 18-25 | weekday | Income=Above median,weekday,To and from work,541.888113010403,824.0416024862673,282.15348947586426,8.838343533382243
smp_00006,employed | 18-25 | weekday | Income=Above median,weekday,Sports/hobbies,879.4642767742531,979.1471509588298,99.68287418457669,1.0851136487541326
smp_00006,employed | 18-25 | weekday | Income=Above median,weekday,Taking education/course,987.5660497552973,1370.22714940162,382.66109964632267,33.96783715146062
smp_00007,employed | 18-25 | weekday | Income=Above median,weekday,To and from work,892.1860554483397,978.2728291518791,86.0867737035394,9.845420933688265
smp_00008,employed | 18-25 | weekday | Income=Above median,weekday,To and from work,768.2199484225025,1440.0,671.7800515774975,3.75520432048453
smp_00009,employed | 18-25 | weekday | Income=Above median,weekday,To and from work,566.5569335133366,1308.7476732142968,742.1907397009602,1.8108983784025285
smp_00009,employed | 18-25 | weekday | Income=Above median,weekday,Different motive,1376.446272434767,1433.5561269304135,57.10985449564646,28.918022722078675
smp_00010,employed | 18-25 | weekday | Income=Above median,weekday,To and from work,568.8227350957213,1111.866846189861,543.0441110941397,13.675681460220023
smp_00010,employed | 18-25 | weekday | Income=Above median,weekday,Collect/deliver goods,1411.09378801305,1427.3456970467375,16.251909033687525,0.43588594777812495
smp_00011,employed | 18-25 | weekday | Income=Above median,weekday,To and from work,789.5058865996697,986.6032663621827,197.09737976251301,11.300150339769177
smp_00011,employed | 18-25 | weekday | Income=Above median,weekday,Sports/hobbies,1013.1820814113554,1092.566590371723,79.3845089603675,2.8457094073687244
